Ruta;Descripción;Km por Viaje;Tarifa Vigente
;TARIFA MINIMA;0;170
;;;
147;PURISCAL-SAN RAFAEL-FLORALIA;(GPS);
;PURISCAL-FLORALIA;10,36;300
;PURISCAL-FRANKLIN;8,72;215
;PURISCAL-SAN RAFAEL ABAJO;5,51;215
;PURISCAL-SAN RAFAEL ARRIBA;4,41;170
;PURISCAL-LA GLORIA;3,25;165
;PURISCAL-Bº SANTA CECILIA;1,31;165
;TARIFA MINIMA;0;150
;;;
171;PURISCAL-SANTA MARTA-SAN RAMON;(GPS);
;PURISCAL-SAN RAMON;24,5;1395
;PURISCAL-SALITRALES;21,2;1335
;PURISCAL-LA PALMA;17,1;1060
;PURISCAL-JILGUERAL;15;915
;PURISCAL-SANTA MARTA;11,6;855
;;;
196;PURISCAL-MERCEDES NORTE-BAJO MURILLOS;(GPS);
;PURISCAL-BAJO MURILLOS;5,83;585
;PURISCAL-MARCIAL;6;525
;PURISCAL-JOSEFINA;4,03;410
;PURISCAL-CRUCE ALEXIS ROJAS;3,8;365
;PURISCAL-MERCEDES NORTE CENTRO;2,91;315
;PURISCAL-JUNQUILLO;1,77;315
;;;
198;PURISCAL-ZAPATON;(GPS);
;PURISCAL-ZAPATON;56,1;1160
;PURISCAL-CONCEPCION;47,8;1050
;PURISCAL-SAN MIGUEL;42,7;1050
;PURISCAL-MASTATAL;39,2;960
;PURISCAL-SAN VICENTE;35,4;875
;PURISCAL-CRUCE A SANTA ROSA;33,2;875
;PURISCAL-SAN RAMON;24,3;610
;PURISCAL-SALITRALES;21,1;575
;PURISCAL-LA PALMA;17,1;430
;PURISCAL-PAVERO;15;390
;PURISCAL-SANTA MARTA;11,6;375
;PURISCAL-LA LEGUA;6,13;235
;;;
103;SAN JOSE-SAN ANDRES DE LEON CORTES;(GPS);
;SAN JOSE-SAN ANDRES DE LEON CORTES;35,89;1250
;SAN JOSE-MONTERREY;30,38;1250
;SAN JOSE-ENTRADA A LIMONAL;34;840
;SAN JOSE-TRINIDAD;26,51;840
;SAN JOSE-ENTRADA A SAN GABRIEL;23,06;840
;SAN JOSE-TRANQUERILLA;24;625
;SAN JOSE-TARBACA;17,8;625
;ASERRI-MONTERREY;26,3;790
;;;
104;ACOSTA-CHIRRACA-PALMICHAL;(GPS);
;ACOSTA-PALMICHAL;11,3;520
;ACOSTA-CHIRRACA;2,3;195
;ACOSTA-PUENTE;1,4;190
;;;
106;ACOSTA-TABLAZO;(GPS);
;ACOSTA-TABLAZO;2,6;190
;;;
195;ACOSTA-BAJOS DEL JORCO;(GPS);
;SAN IGNACIO DE ACOSTA-BAJOS DEL JORCO;8,35;415
;SAN IGNACIO DE ACOSTA-LAGUNILLA;5,6;360
;SAN IGNACIO DE ACOSTA-CACAO;7;360
;SAN IGNACIO DE ACOSTA-AGUA BLANCA;3,4;255
;SAN IGNACIO DE ACOSTA-PUENTE;1,4;190
;;;
107;PURISCAL-SANTA MARTA-SAN RAMON   EXT GALAN;;
;PURISCAL-GALAN;45,6;660
;PURISCAL-SAN RAMON;29,6;365
;PURISCAL-SALITRALES;23,8;330
;PURISCAL-LA PALMA;19,1;270
;PURISCAL-JILGUERAL;16,8;235
;PURISCAL-SANTA MARTA;11,7;215
;PURISCAL-LA LEGUA;7,6;130
;PURISCAL-CERBATANA;5,2;100
;SAN RAMON-GALAN;16;445
;;;
123;SAN JOSE-LA LEGUA DE ASERRI;(GPS);
;SAN JOSE-LA LEGUA;35,645;1245
;SAN JOSE-MONTERREY;30,45;1245
;SAN JOSE-ENTRADA A LIMONAL;28,58;830
;SAN JOSE-TRINIDAD;26,7;830
;SAN JOSE-ENTRADA A SAN GABRIEL;23,24;830
;SAN JOSE-TRANQUERILLA;21,34;620
;SAN JOSE-TARBACA;18,43;620
;;;
